ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|047070912d592d6bce76de16bfc35397|2022-09-29|00:58:53|1664405933|grocery_pos|7.50|1|fraud_Kutch and Sons|61.117421|-145.367694
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|f59307c3dd2495ee534cef2d50529865|2022-09-29|00:24:47|1664403887|gas_transport|286.61|1|fraud_Friesen-D'Amore|59.911199|-146.282216
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|ebf3ec91581d19275405611a89b2c6b2|2022-09-29|03:55:21|1664416521|grocery_pos|295.16|1|fraud_Auer-Mosciski|60.068752|-145.544298
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|fb11e1dc19947ecf04b2059d0c6a489b|2022-09-30|05:50:55|1664509855|grocery_pos|294.47|1|fraud_Wolf Inc|59.846083|-146.205439
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|6a3146e903906ed8975aad349536859d|2022-09-29|01:55:50|1664409350|grocery_pos|313.35|1|fraud_Schoen, Kuphal and Nitzsche|60.891385|-145.173458
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|f20a7427af4e2b3d0d30e05a1036cb1b|2022-09-30|03:18:57|1664500737|grocery_pos|296.91|1|fraud_Kunze Inc|61.358609|-145.059394
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|dde2903f5ea48f8221c345fcea1ae502|2022-09-29|03:09:48|1664413788|grocery_pos|327.47|1|fraud_Hudson-Ratke|59.615995|-146.026223
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|9614d0506a0e1e5ef748094e4ddc8f56|2022-09-29|00:41:07|1664404867|grocery_pos|308.82|1|fraud_Deckow-O'Conner|60.694793|-146.284377
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|170a0dc9736a6e96a5590943c97f384e|2022-09-30|22:29:28|1664569768|shopping_net|661.06|1|fraud_Stamm-Witting|61.500958|-144.910862
660-77-3087|6011557309594011|Carla|Gentry|F|679 David Port Apt. 873|Cordova|AK|99574|60.5362|-145.7534|2348|Engineer, broadcasting (operations)|2002-06-13|29566719282|young_adults_female_rural.json|2b38a4646f668bd4ee4fca15895bfd82|2022-09-30|22:31:15|1664569875|shopping_net|782.04|1|fraud_Gerlach Inc|59.692363|-144.984710
